data	data	415172	384132	674956	502472	90444	56628	329660	206924	67736	26292	239748	159508	238336	93820	112684	58316	247192	97240	667716	589260	41992	52584	243008	251808	20756	63792	31168	78220	517080	266752	253848	454724	112688	362324	250560	216416	334760	276412	93040	135336	39520	43428	318332	463760	191628	404272	278000	308712	219324	395492	525612	212124	98496	99796	352700	420964	330460	362968	148424	334156	212632	106324	89688	102132	150108	140012	340912	539280	158632	237248	216884	335228	236184	253960	31524	29952	186792	188896	84448	39960	197520	137484	80672	53468	367404	289584	28740	20440	264552	277916	636768	557768	334292	429832	26508	44204	252676	213416	576412	514680	271096	244088	366548	352136	105620	97064	18448	20784	32024	64136	188740	229040	349260	87628	57276	23556	
data	data	Precentral_L	Precentral_R	Frontal_Sup_L	Frontal_Sup_R	Frontal_Sup_Orb_L	Frontal_Sup_Orb_R	Frontal_Mid_L	Frontal_Mid_R	Frontal_Mid_Orb_L	Frontal_Mid_Orb_R	Frontal_Inf_Oper_L	Frontal_Inf_Oper_R	Frontal_Inf_Tri_L	Frontal_Inf_Tri_R	Frontal_Inf_Orb_L	Frontal_Inf_Orb_R	Rolandic_Oper_L	Rolandic_Oper_R	Supp_Motor_Area_L	Supp_Motor_Area_R	Olfactory_L	Olfactory_R	Frontal_Sup_Medial_L	Frontal_Sup_Medial_R	Frontal_Med_Orb_L	Frontal_Med_Orb_R	Rectus_L	Rectus_R	Insula_L	Insula_R	Cingulum_Ant_L	Cingulum_Ant_R	Cingulum_Mid_L	Cingulum_Mid_R	Cingulum_Post_L	Cingulum_Post_R	Hippocampus_L	Hippocampus_R	ParaHippocampal_L	ParaHippocampal_R	Amygdala_L	Amygdala_R	Calcarine_L	Calcarine_R	Cuneus_L	Cuneus_R	Lingual_L	Lingual_R	Occipital_Sup_L	Occipital_Sup_R	Occipital_Mid_L	Occipital_Mid_R	Occipital_Inf_L	Occipital_Inf_R	Fusiform_L	Fusiform_R	Postcentral_L	Postcentral_R	Parietal_Sup_L	Parietal_Sup_R	Parietal_Inf_L	Parietal_Inf_R	SupraMarginal_L	SupraMarginal_R	Angular_L	Angular_R	Precuneus_L	Precuneus_R	Paracentral_Lobule_L	Paracentral_Lobule_R	Caudate_L	Caudate_R	Putamen_L	Putamen_R	Pallidum_L	Pallidum_R	Thalamus_L	Thalamus_R	Heschl_L	Heschl_R	Temporal_Sup_L	Temporal_Sup_R	Temporal_Pole_Sup_L	Temporal_Pole_Sup_R	Temporal_Mid_L	Temporal_Mid_R	Temporal_Pole_Mid_L	Temporal_Pole_Mid_R	Temporal_Inf_L	Temporal_Inf_R	Cerebelum_Crus1_L	Cerebelum_Crus1_R	Cerebelum_Crus2_L	Cerebelum_Crus2_R	Cerebelum_3_L	Cerebelum_3_R	Cerebelum_4_5_L	Cerebelum_4_5_R	Cerebelum_6_L	Cerebelum_6_R	Cerebelum_7b_L	Cerebelum_7b_R	Cerebelum_8_L	Cerebelum_8_R	Cerebelum_9_L	Cerebelum_9_R	Cerebelum_10_L	Cerebelum_10_R	Vermis_1_2	Vermis_3	Vermis_4_5	Vermis_6	Vermis_7	Vermis_8	Vermis_9	Vermis_10	
415172	Precentral_L	0	11202	8590	292	0	0	7662	0	0	0	10562	0	1764	0	0	0	9528	0	13558	5810	0	0	0	0	0	0	0	0	5766	0	168	216	298	4516	12752	5196	9188	274	152	0	0	0	5198	0	242	0	770	0	0	0	2818	0	120	0	0	0	26766	68	232	0	1542	0	238	0	186	0	6274	122	15142	5790	2386	2154	3896	0	1350	0	16852	4190	1524	0	1140	0	0	0	700	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
384132	Precentral_R	11202	0	496	4014	0	0	0	10590	0	0	100	6476	0	0	0	0	88	2046	4298	13106	0	0	0	74	0	0	0	0	254	2626	156	782	582	6302	2454	8896	0	12110	0	758	0	0	0	4674	0	654	0	4946	0	410	0	348	0	82	0	880	108	11480	0	2178	0	0	0	676	0	0	0	10990	1364	16152	962	14026	124	7168	0	1406	1506	22438	0	100	0	484	0	0	0	734	0	0	0	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	
674956	Frontal_Sup_L	8590	496	0	11140	6800	0	44052	212	4288	0	15080	926	15824	312	7034	0	10824	76	67424	15898	968	0	34474	1498	440	96	0	0	30020	1054	20422	5932	3898	1580	382	0	624	574	112	0	86	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	1696	0	0	0	0	0	0	0	0	0	0	346	790	0	6270	3390	8004	470	1184	0	508	778	256	0	684	0	1616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
502472	Frontal_Sup_R	292	4014	11140	0	0	2790	118	19734	0	318	502	6616	0	2604	0	1900	392	4212	14462	42112	0	158	7872	31428	158	2680	0	1756	910	9880	2628	32932	222	10786	0	106	0	990	0	110	0	0	0	84	0	0	0	574	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	500	0	0	3018	15566	884	12432	0	1646	0	1880	0	68	110	108	200	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
90444	Frontal_Sup_Orb_L	0	0	6800	0	0	0	1680	0	8328	0	74	0	134	0	8776	0	0	0	0	0	1182	0	2038	0	1314	0	3664	0	5096	0	2600	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	2942	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56628	Frontal_Sup_Orb_R	0	0	0	2790	0	0	0	126	0	1798	0	0	0	0	0	794	0	0	0	0	0	516	210	2962	92	6368	0	7742	0	200	248	1574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1252	0	1642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
329660	Frontal_Mid_L	7662	0	44052	118	1680	0	0	0	3222	0	8604	0	34568	0	8538	0	1454	0	10826	166	584	0	11370	98	0	0	0	0	18630	0	6224	152	2768	0	0	0	294	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0	0	0	0	0	0	0	0	0	270	0	182	210	1218	0	236	0	302	0	88	0	204	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
206924	Frontal_Mid_R	0	10590	212	19734	0	126	0	0	0	822	0	9326	0	8568	0	4722	0	2384	1614	9176	0	0	326	3600	0	0	0	0	0	9306	864	5882	0	4396	0	0	0	1602	0	238	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	348	0	0	112	888	86	5734	0	572	0	1562	0	0	0	80	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
