data	data	279940	157304	827272	686608	234252	106984	361720	230528	130504	21320	250648	114048	258744	136140	213484	89596	182080	146740	770252	613660	148888	134680	280864	297608	40304	107372	89252	110016	664720	323216	263636	455324	186948	410948	166828	159932	271588	368436	168364	240744	43392	62200	299572	311368	211096	325584	286984	323652	162400	352044	476920	356056	165212	160660	496432	540436	220832	185432	184580	101024	236292	123536	145380	122576	177668	191148	424448	503936	154300	207032	249960	378104	347864	357888	39412	43008	181928	155540	99700	39024	262776	168544	99108	86804	411580	232576	34992	38452	279232	200888	421128	427292	323136	310304	26884	56684	348144	232344	535848	459764	290848	177828	377172	345920	138800	207704	41060	17608	27824	52880	254208	224988	228860	153648	81292	19344	
data	data	Precentral_L	Precentral_R	Frontal_Sup_L	Frontal_Sup_R	Frontal_Sup_Orb_L	Frontal_Sup_Orb_R	Frontal_Mid_L	Frontal_Mid_R	Frontal_Mid_Orb_L	Frontal_Mid_Orb_R	Frontal_Inf_Oper_L	Frontal_Inf_Oper_R	Frontal_Inf_Tri_L	Frontal_Inf_Tri_R	Frontal_Inf_Orb_L	Frontal_Inf_Orb_R	Rolandic_Oper_L	Rolandic_Oper_R	Supp_Motor_Area_L	Supp_Motor_Area_R	Olfactory_L	Olfactory_R	Frontal_Sup_Medial_L	Frontal_Sup_Medial_R	Frontal_Med_Orb_L	Frontal_Med_Orb_R	Rectus_L	Rectus_R	Insula_L	Insula_R	Cingulum_Ant_L	Cingulum_Ant_R	Cingulum_Mid_L	Cingulum_Mid_R	Cingulum_Post_L	Cingulum_Post_R	Hippocampus_L	Hippocampus_R	ParaHippocampal_L	ParaHippocampal_R	Amygdala_L	Amygdala_R	Calcarine_L	Calcarine_R	Cuneus_L	Cuneus_R	Lingual_L	Lingual_R	Occipital_Sup_L	Occipital_Sup_R	Occipital_Mid_L	Occipital_Mid_R	Occipital_Inf_L	Occipital_Inf_R	Fusiform_L	Fusiform_R	Postcentral_L	Postcentral_R	Parietal_Sup_L	Parietal_Sup_R	Parietal_Inf_L	Parietal_Inf_R	SupraMarginal_L	SupraMarginal_R	Angular_L	Angular_R	Precuneus_L	Precuneus_R	Paracentral_Lobule_L	Paracentral_Lobule_R	Caudate_L	Caudate_R	Putamen_L	Putamen_R	Pallidum_L	Pallidum_R	Thalamus_L	Thalamus_R	Heschl_L	Heschl_R	Temporal_Sup_L	Temporal_Sup_R	Temporal_Pole_Sup_L	Temporal_Pole_Sup_R	Temporal_Mid_L	Temporal_Mid_R	Temporal_Pole_Mid_L	Temporal_Pole_Mid_R	Temporal_Inf_L	Temporal_Inf_R	Cerebelum_Crus1_L	Cerebelum_Crus1_R	Cerebelum_Crus2_L	Cerebelum_Crus2_R	Cerebelum_3_L	Cerebelum_3_R	Cerebelum_4_5_L	Cerebelum_4_5_R	Cerebelum_6_L	Cerebelum_6_R	Cerebelum_7b_L	Cerebelum_7b_R	Cerebelum_8_L	Cerebelum_8_R	Cerebelum_9_L	Cerebelum_9_R	Cerebelum_10_L	Cerebelum_10_R	Vermis_1_2	Vermis_3	Vermis_4_5	Vermis_6	Vermis_7	Vermis_8	Vermis_9	Vermis_10	
279940	Precentral_L	0	1142	9786	2022	0	0	13876	160	0	0	11810	0	1822	0	0	0	7376	104	5430	1986	0	0	0	0	0	0	0	0	9712	98	0	0	1230	448	2854	462	646	148	0	0	0	0	774	0	700	0	114	0	0	0	3312	0	1030	0	836	0	22358	0	1868	0	4224	0	2202	0	2104	0	2074	100	7316	346	1106	386	146	230	0	188	760	0	3868	0	2670	0	0	0	6758	0	0	0	3388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
157304	Precentral_R	1142	0	638	5190	0	0	172	8992	0	0	282	3604	480	102	0	0	0	1186	2226	1050	0	0	0	0	0	0	0	0	766	2784	0	0	0	344	256	938	104	3120	0	398	0	0	0	316	0	258	0	126	0	430	0	502	0	510	0	1214	664	10882	0	96	828	394	606	1040	0	390	0	1536	846	1840	780	6736	544	2186	278	0	3078	7658	0	188	0	166	0	0	0	174	0	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
827272	Frontal_Sup_L	9786	638	0	10996	8352	0	49700	2144	4020	0	13402	592	15956	0	7102	0	7098	218	83108	8146	266	0	36760	4324	1628	0	152	0	35918	1780	13336	5986	8150	3522	544	212	5432	1642	1596	506	168	0	0	0	0	0	0	98	0	0	96	0	102	0	1630	270	4976	152	84	0	1862	0	1938	0	568	0	238	0	218	188	4574	5632	21212	4160	3236	2332	3328	1612	2520	156	3786	0	2494	0	1578	0	0	0	1160	136	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
686608	Frontal_Sup_R	2022	5190	10996	0	0	1148	582	37272	0	704	820	6682	1250	11376	0	4312	92	4666	19460	61306	0	308	6262	34236	0	2170	0	608	1644	12390	5482	35200	1600	10810	150	184	394	2466	84	1278	0	0	0	0	0	0	0	162	0	112	0	166	0	0	0	816	744	678	0	0	508	86	506	148	0	106	0	178	572	150	590	25088	714	13462	478	1194	1622	11406	0	340	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	104	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
234252	Frontal_Sup_Orb_L	0	0	8352	0	0	1074	1812	0	16376	0	196	104	2750	0	18090	0	0	0	2332	0	6000	1568	3846	98	3262	684	8168	1186	15344	388	4826	722	0	0	0	0	532	236	410	0	1040	0	0	0	0	0	0	0	0	0	0	0	0	104	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4592	576	9810	338	0	0	88	212	0	0	0	86	1592	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
106984	Frontal_Sup_Orb_R	0	0	0	1148	1074	0	0	0	644	2496	0	0	0	0	824	3836	0	0	0	0	3364	5832	0	1732	122	7644	1924	9204	0	898	1118	1686	0	0	0	0	0	164	0	114	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2972	2606	1190	2758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
361720	Frontal_Mid_L	13876	172	49700	582	1812	0	0	172	2752	0	10400	206	18838	0	5398	0	4186	0	14638	578	0	0	12396	558	0	0	0	0	15588	0	3580	1482	3350	1348	228	142	786	202	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	3146	0	200	0	590	0	288	0	344	0	106	0	0	224	1910	1546	4120	592	0	468	542	132	856	0	1188	0	0	0	926	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
230528	Frontal_Mid_R	160	8992	2144	37272	0	0	172	0	0	688	382	7024	880	11236	0	1158	0	3730	2722	2732	0	0	990	5350	0	100	0	0	1282	4492	262	4726	286	1774	0	542	0	2562	0	940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	1008	0	0	0	0	0	0	0	0	0	0	0	0	544	2602	340	5442	0	348	1102	774	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
