data	data	459196	162048	1.01562e+06	944400	153092	122656	601668	284836	77724	34220	319096	194240	300416	165416	173564	168424	235872	134148	634640	688716	84348	77136	536284	531344	40124	75480	46796	46508	673696	342540	440576	623436	179040	642952	99744	142152	320608	290764	73608	109200	34380	63408	163612	275324	120968	357164	235892	278820	132304	348544	337496	225116	134972	70904	402828	327136	302140	140456	121204	61308	156028	85672	68072	70740	87400	101176	271872	381156	150956	69536	382340	547236	380284	407820	53848	50952	153452	172096	81740	22224	191020	95840	96120	46096	206148	182912	37976	16176	307772	113968	398824	409392	334436	278372	22256	66576	291520	236500	389964	383656	244040	150064	269092	285660	129732	141140	15952	8852	28404	67564	274520	169556	162340	173708	100328	22992	
data	data	Precentral_L	Precentral_R	Frontal_Sup_L	Frontal_Sup_R	Frontal_Sup_Orb_L	Frontal_Sup_Orb_R	Frontal_Mid_L	Frontal_Mid_R	Frontal_Mid_Orb_L	Frontal_Mid_Orb_R	Frontal_Inf_Oper_L	Frontal_Inf_Oper_R	Frontal_Inf_Tri_L	Frontal_Inf_Tri_R	Frontal_Inf_Orb_L	Frontal_Inf_Orb_R	Rolandic_Oper_L	Rolandic_Oper_R	Supp_Motor_Area_L	Supp_Motor_Area_R	Olfactory_L	Olfactory_R	Frontal_Sup_Medial_L	Frontal_Sup_Medial_R	Frontal_Med_Orb_L	Frontal_Med_Orb_R	Rectus_L	Rectus_R	Insula_L	Insula_R	Cingulum_Ant_L	Cingulum_Ant_R	Cingulum_Mid_L	Cingulum_Mid_R	Cingulum_Post_L	Cingulum_Post_R	Hippocampus_L	Hippocampus_R	ParaHippocampal_L	ParaHippocampal_R	Amygdala_L	Amygdala_R	Calcarine_L	Calcarine_R	Cuneus_L	Cuneus_R	Lingual_L	Lingual_R	Occipital_Sup_L	Occipital_Sup_R	Occipital_Mid_L	Occipital_Mid_R	Occipital_Inf_L	Occipital_Inf_R	Fusiform_L	Fusiform_R	Postcentral_L	Postcentral_R	Parietal_Sup_L	Parietal_Sup_R	Parietal_Inf_L	Parietal_Inf_R	SupraMarginal_L	SupraMarginal_R	Angular_L	Angular_R	Precuneus_L	Precuneus_R	Paracentral_Lobule_L	Paracentral_Lobule_R	Caudate_L	Caudate_R	Putamen_L	Putamen_R	Pallidum_L	Pallidum_R	Thalamus_L	Thalamus_R	Heschl_L	Heschl_R	Temporal_Sup_L	Temporal_Sup_R	Temporal_Pole_Sup_L	Temporal_Pole_Sup_R	Temporal_Mid_L	Temporal_Mid_R	Temporal_Pole_Mid_L	Temporal_Pole_Mid_R	Temporal_Inf_L	Temporal_Inf_R	Cerebelum_Crus1_L	Cerebelum_Crus1_R	Cerebelum_Crus2_L	Cerebelum_Crus2_R	Cerebelum_3_L	Cerebelum_3_R	Cerebelum_4_5_L	Cerebelum_4_5_R	Cerebelum_6_L	Cerebelum_6_R	Cerebelum_7b_L	Cerebelum_7b_R	Cerebelum_8_L	Cerebelum_8_R	Cerebelum_9_L	Cerebelum_9_R	Cerebelum_10_L	Cerebelum_10_R	Vermis_1_2	Vermis_3	Vermis_4_5	Vermis_6	Vermis_7	Vermis_8	Vermis_9	Vermis_10	
459196	Precentral_L	0	1260	15706	3166	0	0	15822	1896	0	0	13058	368	1764	0	0	0	9574	146	9210	4822	0	0	508	264	0	0	0	0	13392	596	458	730	678	2770	1356	756	15878	2044	1038	0	0	0	0	0	128	0	0	0	272	0	1672	0	298	0	4238	0	34272	512	720	0	1734	98	542	400	0	0	712	0	12148	1460	8376	1868	5980	1014	2252	148	22276	2856	2770	0	2498	0	0	0	280	0	0	0	2814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
162048	Precentral_R	1260	0	748	13220	0	0	792	5290	0	0	226	6166	0	0	0	0	172	1996	2220	2420	0	0	0	0	0	0	0	0	324	1742	0	0	0	524	0	946	446	4958	0	340	0	0	0	92	0	950	0	0	0	872	0	606	0	0	142	652	112	14190	0	104	0	1102	0	1830	0	100	0	1968	186	1402	2038	978	848	3022	0	402	248	4198	0	188	0	202	0	0	0	802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.01562e+06	Frontal_Sup_L	15706	748	0	16374	11646	0	87998	2328	2596	0	15756	3910	18896	754	7652	304	7746	2144	63018	14994	476	0	64796	13010	2866	0	716	0	33134	3596	32854	11290	3580	11136	0	0	4888	0	566	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	1232	0	1754	408	0	0	0	148	0	432	0	0	0	0	1488	0	8152	4548	13622	714	2004	0	11978	152	0	0	3098	266	1476	424	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
944400	Frontal_Sup_R	3166	13220	16374	0	0	4578	5876	35024	0	466	810	11890	210	9632	0	7440	484	7130	14984	54460	0	0	10868	48162	0	2158	0	172	944	16872	7972	50066	5312	42912	182	312	526	6886	0	538	0	200	0	0	0	550	0	408	0	546	0	444	0	0	92	380	0	1292	0	0	0	344	0	642	0	0	0	706	936	202	5764	34644	510	12840	0	3074	1280	24524	0	118	236	1176	0	616	0	944	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
153092	Frontal_Sup_Orb_L	0	0	11646	0	0	0	1638	0	9014	0	158	0	670	0	12824	0	0	0	178	0	2704	0	5746	104	4524	0	6350	0	7636	0	2644	0	0	0	0	0	0	0	362	0	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	7840	0	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
122656	Frontal_Sup_Orb_R	0	0	0	4578	0	0	0	2280	0	3688	238	90	0	398	0	8012	144	0	168	734	0	1338	0	5718	0	7768	0	7742	240	1280	560	5010	0	352	0	0	0	108	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	6206	0	3698	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
601668	Frontal_Mid_L	15822	792	87998	5876	1638	0	0	2074	3684	0	11778	452	35678	0	7444	118	3942	0	9780	1198	0	0	31004	6458	120	0	0	0	20086	268	14494	6108	1060	5272	0	0	1568	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	188	412	0	0	0	98	0	368	0	0	0	0	0	0	10038	3868	4690	826	522	0	2814	94	0	0	1756	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
284836	Frontal_Mid_R	1896	5290	2328	35024	0	2280	2074	0	0	1614	542	6388	0	19120	0	7488	522	624	2672	4846	0	0	1492	8436	0	0	0	0	1248	5678	798	7184	320	8152	0	0	644	714	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0	0	282	0	0	0	102	0	332	0	0	0	0	0	0	4390	3532	804	2776	0	972	0	1058	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
