data	data	465896	327020	832352	745416	182692	125580	481012	308700	112292	21868	230508	222452	276344	241656	151604	80040	178348	127048	597192	560068	61932	78796	299168	348496	26884	80156	45404	30044	483636	338944	368688	519456	105352	417364	133568	185532	263764	380992	98824	266456	39668	51012	281024	333788	211568	311752	310108	301232	308736	369124	550812	277772	170320	83448	432720	491100	360428	142772	288656	55064	288864	97588	164224	75664	164480	115688	470848	359192	86288	108028	247276	449172	308552	408404	39316	42116	198796	196860	46024	29784	203912	100804	65076	56336	385944	295944	23608	18636	286536	236840	456416	392548	435776	389104	60544	78736	304328	215056	474472	433192	286652	247408	347984	355568	173076	160592	32928	13716	27944	71500	234040	275264	255984	191380	92064	30912	
data	data	Precentral_L	Precentral_R	Frontal_Sup_L	Frontal_Sup_R	Frontal_Sup_Orb_L	Frontal_Sup_Orb_R	Frontal_Mid_L	Frontal_Mid_R	Frontal_Mid_Orb_L	Frontal_Mid_Orb_R	Frontal_Inf_Oper_L	Frontal_Inf_Oper_R	Frontal_Inf_Tri_L	Frontal_Inf_Tri_R	Frontal_Inf_Orb_L	Frontal_Inf_Orb_R	Rolandic_Oper_L	Rolandic_Oper_R	Supp_Motor_Area_L	Supp_Motor_Area_R	Olfactory_L	Olfactory_R	Frontal_Sup_Medial_L	Frontal_Sup_Medial_R	Frontal_Med_Orb_L	Frontal_Med_Orb_R	Rectus_L	Rectus_R	Insula_L	Insula_R	Cingulum_Ant_L	Cingulum_Ant_R	Cingulum_Mid_L	Cingulum_Mid_R	Cingulum_Post_L	Cingulum_Post_R	Hippocampus_L	Hippocampus_R	ParaHippocampal_L	ParaHippocampal_R	Amygdala_L	Amygdala_R	Calcarine_L	Calcarine_R	Cuneus_L	Cuneus_R	Lingual_L	Lingual_R	Occipital_Sup_L	Occipital_Sup_R	Occipital_Mid_L	Occipital_Mid_R	Occipital_Inf_L	Occipital_Inf_R	Fusiform_L	Fusiform_R	Postcentral_L	Postcentral_R	Parietal_Sup_L	Parietal_Sup_R	Parietal_Inf_L	Parietal_Inf_R	SupraMarginal_L	SupraMarginal_R	Angular_L	Angular_R	Precuneus_L	Precuneus_R	Paracentral_Lobule_L	Paracentral_Lobule_R	Caudate_L	Caudate_R	Putamen_L	Putamen_R	Pallidum_L	Pallidum_R	Thalamus_L	Thalamus_R	Heschl_L	Heschl_R	Temporal_Sup_L	Temporal_Sup_R	Temporal_Pole_Sup_L	Temporal_Pole_Sup_R	Temporal_Mid_L	Temporal_Mid_R	Temporal_Pole_Mid_L	Temporal_Pole_Mid_R	Temporal_Inf_L	Temporal_Inf_R	Cerebelum_Crus1_L	Cerebelum_Crus1_R	Cerebelum_Crus2_L	Cerebelum_Crus2_R	Cerebelum_3_L	Cerebelum_3_R	Cerebelum_4_5_L	Cerebelum_4_5_R	Cerebelum_6_L	Cerebelum_6_R	Cerebelum_7b_L	Cerebelum_7b_R	Cerebelum_8_L	Cerebelum_8_R	Cerebelum_9_L	Cerebelum_9_R	Cerebelum_10_L	Cerebelum_10_R	Vermis_1_2	Vermis_3	Vermis_4_5	Vermis_6	Vermis_7	Vermis_8	Vermis_9	Vermis_10	
465896	Precentral_L	0	18616	8484	3646	0	0	19240	2594	0	0	8860	202	950	0	0	0	6208	0	3582	9112	0	0	196	0	0	0	0	0	9372	104	636	752	1232	1384	8426	5990	11064	4544	1386	1618	0	0	1220	0	1106	0	844	402	560	0	2882	0	870	0	2622	2036	33680	328	1758	0	7234	0	1508	88	94	0	2752	682	7852	1948	856	1340	4876	228	576	168	13770	2994	2352	0	1398	0	172	0	2850	0	0	0	2022	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
327020	Precentral_R	18616	0	4586	11980	0	0	3488	5594	0	0	194	9018	0	92	0	0	332	1604	4098	10788	0	0	0	192	0	0	0	0	478	2638	0	98	400	1636	576	4592	384	9502	0	2996	0	0	0	330	0	300	0	176	0	804	0	854	0	352	0	4540	3392	13418	94	168	304	724	0	1374	0	176	270	1226	2168	6096	1550	1752	1830	7674	478	1404	3710	8776	0	346	88	298	0	0	0	2330	0	0	0	2626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
832352	Frontal_Sup_L	8484	4586	0	13148	7906	0	67316	2070	1300	0	13730	298	22302	378	2344	0	4644	0	87472	20116	0	0	38618	1426	1016	0	166	0	24672	292	23692	4548	3278	4620	0	136	2490	444	148	288	148	0	0	0	0	0	124	134	0	0	0	0	0	0	1060	182	862	382	0	0	148	0	116	0	0	0	0	0	730	0	14288	3894	17548	1756	2072	220	6050	478	618	0	1994	0	866	0	108	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
745416	Frontal_Sup_R	3646	11980	13148	0	0	5128	3710	37122	0	140	3392	11692	858	18394	0	3594	250	5532	15018	44852	0	0	7124	37614	0	1930	0	186	984	19378	4726	36254	254	16622	0	1252	134	4730	0	2802	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	1812	1278	304	0	0	164	0	0	110	0	0	0	0	0	0	1520	24088	1066	17456	314	2166	1940	7198	0	226	110	0	0	236	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
182692	Frontal_Sup_Orb_L	0	0	7906	0	0	0	2844	0	15870	0	546	0	7492	0	16330	0	0	0	340	0	404	0	3626	0	3332	0	5426	0	14318	0	3532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	8322	0	0	0	0	0	0	0	332	0	264	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
125580	Frontal_Sup_Orb_R	0	0	0	5128	0	0	0	446	0	3790	0	1682	0	246	0	4900	0	630	0	1104	290	1130	520	5240	220	7046	228	3694	0	2364	250	4608	0	524	0	0	0	270	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	9276	228	8420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
481012	Frontal_Mid_L	19240	3488	67316	3710	2844	0	0	806	2598	0	12722	114	32444	136	2480	0	3046	0	16762	2314	0	0	18088	664	0	0	0	0	14850	104	13538	2118	3228	724	0	98	834	252	194	98	0	0	0	0	0	0	0	106	0	0	0	0	0	0	106	108	386	202	0	0	116	0	0	0	0	0	0	0	0	0	1762	1816	3416	318	570	106	5496	312	262	0	462	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
308700	Frontal_Mid_R	2594	5594	2070	37122	0	446	806	0	0	1224	166	9100	0	21638	0	5384	152	3540	2914	4790	0	0	184	3172	0	0	0	0	238	5150	696	4984	0	2128	0	272	0	1806	0	1376	0	0	0	0	0	0	0	462	0	0	0	0	0	0	0	860	1326	268	0	0	94	0	0	0	0	0	0	0	0	0	428	11420	410	4938	166	2134	224	13186	0	712	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112292	Frontal_Mid_Orb_L	0	0	1300	0	15870	0	2598	0	0	0	0	0	4412	0	17926	0	0	0	170	0	0	0	0	0	0	0	1922	0	5988	0	122	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4894	0	0	0	0	0	0	0	282	0	246	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21868	Frontal_Mid_Orb_R	0	0	0	140	0	3790	0	1224	0	0	0	0	0	462	0	4948	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
230508	Frontal_Inf_Oper_L	8860	194	13730	3392	546	0	12722	166	0	0	0	146	15274	0	150	0	6400	0	7292	490	0	0	370	530	190	0	190	0	13828	0	5672	3392	0	126	0	0	474	0	106	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	96	1692	0	0	0	218	0	126	0	0	0	0	0	0	0	5010	6740	1718	0	0	0	598	468	386	0	1936	0	1762	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
222452	Frontal_Inf_Oper_R	202	9018	298	11692	0	1682	114	9100	0	0	146	0	0	15226	0	1076	0	3904	970	3058	0	0	0	4054	0	100	0	0	0	11374	2808	10386	0	2308	0	160	0	2440	0	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1890	0	1814	0	0	0	0	0	164	0	0	0	0	0	0	250	4292	106	8844	0	252	0	308	0	176	0	150	0	292	0	324	0	0	0	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
276344	Frontal_Inf_Tri_L	950	0	22302	858	7492	0	32444	0	4412	0	15274	0	0	0	9216	0	170	0	4726	286	0	0	3412	102	94	0	90	0	24698	0	5792	1482	1550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	872	1230	306	0	0	0	0	0	0	0	220	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
241656	Frontal_Inf_Tri_R	0	92	378	18394	0	246	136	21638	0	462	0	15226	0	0	0	7320	0	0	2500	5028	0	0	3096	10028	0	0	0	0	0	14290	2306	11064	178	7912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	278	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
